tool	method_approach	scope_label	version	container_image	container_digest_prefix	default_threshold	training_database	gpu_required	description	algorithmic_approach	rationale_for_inclusion	non_default_flags
MetaPhinder	Reference-based	phage-only	0.1	multifractal/metaphinder:0.1	NA	score>=0.5	RefSeq viral genomes (BLASTn reference)	no	Reference-based BLASTn classifier that assesses the fraction of a contig matching a curated phage genome database.	Alignment-based classification using mean BLASTn identity and coverage against a phage reference set.	Represents the simplest reference-based baseline and the only non-machine-learning tool in routine use for metagenomic phage identification (Jurtz et al., 2016).	None (bundled ALL_140821_hr phage database specified explicitly via -d)
Sourmash	Reference-based	database-dependent	4.5.0	nanozoo/sourmash:4.5.0--e12a57a	NA	containment>=0.5	user-provided signature database	no	Reference-based MinHash k-mer sketching tool that estimates containment of query contigs in a user-supplied viral signature database.	MinHash-sketch containment search against a user-supplied reference index.	Represents the database-dependent class in which novel-sequence detection scales with reference completeness; informative for benchmarking coverage of the vaginal virome.	Custom phages.sbt.zip reference index curated for this benchmark; Sourmash ships with no default phage database. Sketch parameters k=21, scaled=100 (search at k=21)
VirSorter	Feature-based ML	phage-only	0.1.2	multifractal/virsorter:0.1.2	NA	category 1+2+3+4	POG + VOG HMM profiles (Roux et al., 2015)	no	Probabilistic classifier that scans contigs for phage hallmark HMMs and assigns one of six confidence categories.	Probabilistic modelling over Pfam/POG/VOG HMM profiles with reference and non-reference dependencies.	Historical reference point: the first widely adopted metagenomic phage-identification tool (Roux et al., 2015) still in use and required for backward-comparable evaluations.	-db 2 (Viromes reference database); the developer default is -db 1 (RefSeqABVir). Virome decontamination mode (--virome) was NOT enabled
VirFinder	Feature-based ML	phage-only	0.2	multifractal/virfinder:0.2	NA	score>=0.5 & pvalue<0.05	RefSeq bacterial + viral pre-2014 (Ren et al., 2017)	no	K-mer-based logistic classifier that distinguishes phage from bacterial contigs using nucleotide composition.	Logistic regression over 8-mer frequencies trained on RefSeq bacterial and viral genomes.	Represents the first-generation sequence-composition tool that preceded the CNN era (Ren et al., 2017).	None (bare VF.pred call)
VirSorter2	Feature-based ML	all-virus	2.2.1	papanikos/virsorter-2:2.2.1--fa935f8	NA	score>=0.5	dsDNAphage + ssDNA + NCLDV + RNA + Lavidaviridae HMMs (Guo et al., 2021)	no	Multi-classifier that combines hallmark-gene HMMs with random-forest scoring across five viral groups (dsDNA phage/Caudovirales, ssDNA, NCLDV, RNA, Lavidaviridae).	Random-forest ensembles per viral group over HMM hallmark-gene features and genomic-composition signals.	Current community standard for broad-host-range viral identification and the top-ranked tool on aquatic benchmarks (Guo et al., 2021; Hegarty et al., 2024).	Published-results runs used --provirus-off (provirus boundary detection disabled); the developer default enables it. Default group inclusion (dsDNAphage, ssDNA) retained. A control re-run with provirus boundary detection enabled (developer default; sample UC093_V3, 9 Tier 1 prophage contigs) recovered the identical prophage set (9/9 under both settings; overall MCC 0.365 vs 0.368, call differences confined to free-phage contigs), this single-sample check does not establish equivalence of the two settings across the full benchmark. The pipeline script (scripts/06_tool_execution/run_cpu_tools.sh) has been updated to run the developer default for future work.
VIBRANT	Feature-based ML	prokaryotic viruses	1.0.1	multifractal/vibrant:0.5	NA	final reported phages_combined calls	KEGG + Pfam + VOG HMM profiles (Kieft et al., 2020)	no	Hybrid pipeline that combines HMM-based protein annotation with a neural network that classifies contigs as high-, medium-, or low-quality viral.	Feed-forward neural network over KEGG, Pfam, and VOG HMM annotation profiles with viral-quality tiering.	Broadly adopted tool that also reports viral quality tier and functional annotation, making it a natural precision-oriented comparator (Kieft et al., 2020).	None: standard (non-virome) mode, default minimum length 1,000 bp and minimum ORFs = 4, bundled KEGG/Pfam/VOG databases passed explicitly via -k/-p/-v. Runtime logs report VIBRANT v1.0.1 despite the container tag 0.5.
DeepVirFinder	Deep learning	prokaryotic-virus-focused	0.1	multifractal/deepvirfinder:0.1	NA	score>=0.5 & pvalue<0.05	RefSeq viral + bacterial pre-May 2015 (training pre-Jan 2014; validation Jan 2014–May 2015), augmented with metavirome sequences (Ren et al., 2020)	no	Convolutional neural network that classifies contigs based on raw nucleotide sequence without requiring ORF calling.	Multi-layer CNN over one-hot-encoded nucleotide input trained on RefSeq viral and bacterial sequences (training cutoff May 2015), augmented with metavirome sequences for under-represented viral groups.	Canonical first-generation deep-learning viral classifier and a standard benchmark for whether CNN architectures transfer to novel biomes (Ren et al., 2020).	None (no -l length filter; score/p-value thresholding applied downstream at evaluation)
PPR-Meta	Deep learning	phage+plasmid	0.3.1	multifractal/ppr-meta:0.3.1	NA	phage_score>=0.5	RefSeq viral + plasmid + chromosome (Fang et al., 2019)	no	Bi-path convolutional network that simultaneously classifies contigs as phage, plasmid, or chromosomal.	Bi-path CNN (BiPathCNN) with a base path over nucleotide one-hot encoding and a codon path over codon one-hot encoding, trained on RefSeq viral, plasmid, and chromosomal sequences.	Only benchmarked tool whose scope explicitly includes plasmids; important control for distinguishing phage from mobile genetic elements in CST-IV communities (Fang et al., 2019).	None (bare ./PPR_Meta call)
Seeker	Deep learning	phage-only	0.1	multifractal/seeker:0.1	NA	score>=0.5	RefSeq phages + random bacterial fragments (Auslander et al., 2020)	no	LSTM-based neural classifier trained to distinguish phage from bacterial contigs without gene-level annotation.	LSTM over nucleotide sequence with alignment-free phage vs bacterial discrimination.	Represents the recurrent-network architecture class and provides a phage-only deep-learning baseline (Auslander et al., 2020).	None (bare predict-metagenome call)
Jaeger	Deep learning	phage-only	1.1.30	containers/jaeger/jaeger.sif	eee3f4fb95b98ef6	score>=0.5	RefSeq bacteria/archaea/eukaryotes + INPHARED phages (Wijesekara et al., 2024)	yes (L40s)	Deep-learning classifier operating on six-frame amino-acid translations of metagenome-assembled contigs for phage identification.	Dilated CNN with residual connections (DCNN-Res; 28 layers, ~947K parameters) over six-frame amino-acid translations with learnable embeddings.	Newest protein-translation-based classifier reported to recover short novel phage sequence where homology- and marker-based tools fail (Wijesekara et al., 2024).	None (--batch 96 performance only; default classifier; sequences <2,048 bp silently skipped)
