method_approach	tool	authors	verified_algorithm	verification_signal	primary_reference	notes
Reference-based	MetaPhinder	Jurtz VI, Villarroel J, Lund O, Voldby Larsen M, Nielsen M	BLASTn against whole-genome bacteriophage references, scoring %ANI to the WHOLE database by merging hits across multiple genomes rather than to a best hit	Primary paper describes identifying phage-origin contigs by comparing query contigs to a database of whole-genome bacteriophage sequences and integrating hits across genomes.	Jurtz et al., 2016	Reference-based phage-only baseline.
Reference-based	Sourmash	Brown CT, Irber L	MinHash sketching of DNA, with sketches compared or searched by Jaccard index against reference signatures	Primary software paper describes MinHash sketches and Jaccard/containment-style comparison; Table S21 documents benchmark use against a curated viral signature index.	Brown and Irber, 2016	Not virus-specific by design; reference-based here because benchmark classification depends on the supplied viral signature database.
Feature-based machine learning	VirSorter	Roux S, Enault F, Hurwitz BL, Sullivan MB	Probabilistic scoring over viral protein/HMM hits and genome-context features	Primary paper describes viral-signal mining from microbial genomic data using hallmark genes, viral HMM/protein similarity, enrichment/depletion metrics, and confidence categories.	Roux et al., 2015	Historical feature/protein-signature classifier.
Feature-based machine learning	VirSorter2	Guo J, Bolduc B, Zayed AA, Varsani A, Dominguez-Huerta G, Delmont TO, Pratama AA, Gazitua MC, Vik D, Sullivan MB, Roux S	Random-forest classifiers across viral groups over one mixed feature vector: hallmark/HMM hit fractions plus gene-organisation and GC statistics (7 of 27 features are HMM-derived)	Primary paper and Table S21 describe multiple expert-guided classifiers, including random forests for dsDNA phage, ssDNA, NCLDV, RNA viruses, and Lavidaviridae.	Guo et al., 2021	All-virus feature-based ML classifier.
Feature-based machine learning	VIBRANT	Kieft K, Zhou Z, Anantharaman K	Feed-forward neural network (multi-layer perceptron) over 27 metrics derived from KEGG, Pfam and VOG HMM annotations, weighted by a bespoke v-score	Primary paper describes a hybrid protein-similarity and machine-learning workflow using HMM annotations and an MLP-style classifier.	Kieft et al., 2020	Feature-based ML over protein-domain annotation metrics, not raw-sequence deep learning.
Feature-based machine learning	VirFinder	Ren J, Ahlgren NA, Lu YY, Fuhrman JA, Sun F	Logistic regression with lasso regularisation over 8-mer frequencies	Primary paper describes a k-mer frequency machine-learning classifier; methods specify sequence signatures with lasso logistic regression.	Ren et al., 2017	Canonical composition-based viral classifier.
Convolutional and recurrent neural networks	DeepVirFinder	Ren J, Song K, Deng C, Ahlgren NA, Fuhrman JA, Li Y, Xie X, Poplin R, Sun F	Convolutional neural network over one-hot encoded nucleotide sequence	Primary paper describes an alignment-free, reference-free CNN for viral sequence detection.	Ren et al., 2020	CNN raw-sequence classifier.
Convolutional and recurrent neural networks	PPR-Meta	Fang Z, Tan J, Wu S, Li M, Xu C, Xie Z, Zhu H	Bi-path convolutional neural network over base and codon encodings	Primary paper describes BiPathCNN with separate nucleotide-base and codon paths for phage, plasmid, and chromosome classification.	Fang et al., 2019	CNN model with explicit plasmid class.
Convolutional and recurrent neural networks	Jaeger	Wijesekara Y, Wu LY, Beeloo R, Rozwalak P, Hauptfeld E, Doijad SP, Dutilh BE, Kaderali L	Dilated convolutional neural network over six-frame amino-acid translations	Primary preprint and Table S21 describe a DCNN-Res model with residual/dilated convolution over translated sequence windows.	Wijesekara et al., 2024	Protein-translation CNN; benchmark row uses the published Jaeger model.
Convolutional and recurrent neural networks	HVSeeker	Al-Najim A, Hauns S, Tran VD, Backofen R, Alkhnbashi OS	HVSeeker-DNA uses bidirectional LSTM over nucleotide sequence; HVSeeker-Protein uses ProteinBERT	Primary paper describes a DNA LSTM model and a protein model; Table S21 documents benchmark execution through the HVSeeker-DNA wrapper.	Al-Najim et al., 2025	Placed in this family because the benchmarked DNA branch is recurrent; the full method also includes a ProteinBERT branch.
Convolutional and recurrent neural networks	Seeker	Auslander N, Gussow AB, Benler S, Wolf YI, Koonin EV	LSTM recurrent neural network over nucleotide sequence	Primary paper describes alignment-free bacteriophage identification with an LSTM/RNN model and a phage score threshold.	Auslander et al., 2020	Phage-only recurrent-network classifier.
Attention/transformer architectures	ViraLM	Peng C, Shang J, Guan J, Wang D, Sun Y	DNABERT-2 transformer/foundation model fine-tuned for viral classification	Primary paper describes virus discovery using a genome foundation model; methods use a DNABERT-2 transformer backbone.	Peng et al., 2024	Transformer-based raw-sequence classifier.
Attention/transformer architectures	TransGINmer	Wang J, Sun Z, Wang G, Miao Y	Multi-head self-attention over k-mer/codon-token dependencies with graph isomorphism network classification	Primary paper describes k-mer embeddings, self-attention-derived token relationships, and GIN classification for viral sequence detection.	Wang et al., 2024	Attention-plus-graph architecture rather than a plain transformer.
Hybrid deep-learning-plus-marker approaches	geNomad	Camargo AP, Roux S, Schulz F, Babinski M, Xu Y, Hu B, Chain PSG, Nayfach S, Kyrpides NC	IGLOO deep-learning sequence branch plus marker-gene/profile branch integrated at contig level	Primary paper describes combining gene-content/marker evidence with a deep neural-network sequence branch for virus, plasmid, and host classification.	Camargo et al., 2023	Hybrid DNN-plus-marker state-of-the-art comparator.
