# Template for table2_tool_recommendations_full.tsv: author-owned recommendation prose.
# Blank MCC cells (and the VIBRANT/geNomad/ViraLM prose set in code) are filled by
# scripts/07_evaluation/publish_parser_revision_tables.py; the published table is never read back.
Tier	Tool	Research Goal	Track A MCC (L1500)	Track C MCC (>=2500 bp)	Eukaryote-infecting virus recall at 1,500 bp (HPV / herpes / anellovirus)	Min Contig Length	GPU Required	Runtime (L1500*)	Runtime (Track C, 12k contigs)	Key Strength	Key Caveat
Recommended	geNomad	Balanced identification across evaluated designs			95% / 60% / 100%	None	No	3 min	8 min	Highest Track A MCC at 1,500 bp; primary-assembly MCC difference from VIBRANT unresolved	~18.5 GB peak RSS (empirical, mean across 18 runs in this benchmark; not specified in the geNomad paper); 6% recall on homology-free novel fragments at 1,500 bp
Recommended	ViraLM	Novel and eukaryote-infecting virus detection			100% / 100% / 100%	500 bp	Yes (2.1 GB VRAM)	43 s	8 min	100% recall in all three eukaryote-infecting virus categories at 1,500 bp; 65/65 homology-free and 350/427 homology-detectable novel fragments	Higher FDR than geNomad (~6x at 1500 bp); catalogue use requires independent false-positive assessment. CheckV assesses completeness and flanking host contamination; it does not confirm viral identity or remove false-positive viral predictions (Nayfach et al. 2021; MIUViG quality reporting: Roux et al. 2019). Combined workflow not benchmarked here.
Recommended	Jaeger	Candidate dark-matter discovery	N/A (min 2048 bp)		N/A at 1,500 bp	2048 bp	Yes (4.6 GB VRAM)	19 s (L3000)	40 s	Fastest tool where it runs (>= 2,048 bp); recovered 85% of candidate dark-matter contigs (41/48)	Phage-only declared scope; not evaluable at 1,500 bp; minimum 2,048 bp
Recommended	VirSorter2	Long-contig identification			25% / 13% / 50%	None	No	26 min	2.0 h	Highest MCC on Track C co-assembled contigs; Track A MCC increased from 0.283 at 1,500 bp to 0.501 at 3,000 bp	Poor on short contigs (< 1500 bp); low eukaryote-infecting virus recall
Recommended	VIBRANT	High-precision phage identification on real assemblies			0% / 0% / 0%	1,000 bp; ≥4 predicted ORFs	No	98 s	34 min	Highest MiTCH MCC; primary-assembly MCC difference from geNomad unresolved; 98.0% prophage recall; metabolic-gene annotation	Primary-assembly precision 0.975 with recall 0.218; targets prokaryotic viruses; zero eukaryote-infecting virus recall at 1,500 bp
Complementary	PPR-Meta	Phage detection on long contigs			95% / 1% / 100%	None	No	56 s	10 min	Ranked 4th on Track C; three-class phage/chromosome/plasmid model	1% herpesvirus recall; Track C performance reflects phage-dominated TP set
Complementary	TransGINmer	Short-contig eukaryote-infecting virus detection			100% / 81% / 100%	~100 bp	Yes (0.6 GB VRAM)	28 s	8 min	Second-best herpesvirus recall (81%); outperforms feature-based ML on short contigs (Q1)	Lower overall MCC than geNomad or ViraLM; hardware-dependent runtime advantage
Complementary	DeepVirFinder	Broad phage screening			55% / 8% / 100%	None	No	1.4 h	2.6 h	58% dark-matter detection rate; high recall on Lactobacillus phages	High runtime (1.4 h at 1,500 bp); elevated FPR
Not recommended	HVSeeker	-			90% / 25% / 100%	None	Yes (1.5 GB VRAM)	42 s	6 min	High HPV recall (90%)	Near-zero MCC on Track A; negative MCC in both original 10× Track B coverage-sweep backgrounds
Not recommended	VirFinder	-			30% / 0.5% / 50%	None	No	98 s	3 min	Computationally lightweight	Low MCC across all tracks; superseded by DeepVirFinder
Not recommended	VirSorter	-			0% / 0% / 0%	None	No	3 min	2.3 h	Legacy tool with established user base	Superseded by VirSorter2; 43x scaling from L1500 to Track C; negative Track C MCC (anti-correlated classification)
Not recommended	MetaPhinder	-			10% / 25% / 0%	None	No	47 s	10 min	Reference-based precision on known phages	Near-random performance on vaginal fragments
Not recommended	Seeker	-			100% / 26% / 100%	200 bp	No	216 s	8 min	High HPV and anellovirus recall	Negative MCC (anti-correlated classification); crashes on assemblies with short contigs
Not recommended	Sourmash	-			0% / 0% / 0%	None	No	1.6 h	3.1 h	Reference-based MinHash approach	Zero detections on vaginal fragments under the implemented operating rule
