Tier	Tool	Research Goal	Track A MCC (L1500)	Track C MCC (>=2500 bp)	Eukaryote-infecting virus recall at 1,500 bp (HPV / herpes / anellovirus)	Min Contig Length	GPU Required	Runtime (L1500*)	Runtime (Track C, 12k contigs)	Key Strength	Key Caveat
Recommended	geNomad	Balanced identification across evaluated designs	0.651	0.419	95% / 60% / 100%	None	No	3 min	8 min	Highest Track A MCC at 1,500 bp; primary-assembly MCC difference from VIBRANT unresolved	~18.5 GB peak RSS (empirical, mean across 18 runs in this benchmark; not specified in the geNomad paper); 6% recall on homology-free novel fragments at 1,500 bp
Recommended	ViraLM	Novel and eukaryote-infecting virus detection	0.536	0.405	100% / 100% / 100%	500 bp	Yes (2.1 GB VRAM)	43 s	8 min	100% recall in all three eukaryote-infecting virus categories at 1,500 bp; 65/65 homology-free and 350/427 homology-detectable novel fragments	Higher FDR than geNomad (~6x at 1500 bp); catalogue use requires independent false-positive assessment. CheckV assesses completeness and flanking host contamination; it does not confirm viral identity or remove false-positive viral predictions (Nayfach et al. 2021; MIUViG quality reporting: Roux et al. 2019). Combined workflow not benchmarked here.
Recommended	Jaeger	Candidate dark-matter discovery	N/A (min 2048 bp)	0.266	N/A at 1,500 bp	2048 bp	Yes (4.6 GB VRAM)	19 s (L3000)	40 s	Fastest tool where it runs (>= 2,048 bp); recovered 85% of candidate dark-matter contigs (41/48)	Phage-only declared scope; not evaluable at 1,500 bp; minimum 2,048 bp
Recommended	VirSorter2	Long-contig identification	0.283	0.599	25% / 13% / 50%	None	No	26 min	2.0 h	Highest MCC on Track C co-assembled contigs; Track A MCC increased from 0.283 at 1,500 bp to 0.501 at 3,000 bp	Poor on short contigs (< 1500 bp); low eukaryote-infecting virus recall
Recommended	VIBRANT	High-precision phage identification on real assemblies	0.172	0.210	0% / 0% / 0%	1,000 bp; ≥4 predicted ORFs	No	98 s	34 min	Highest MiTCH MCC; primary-assembly MCC difference from geNomad unresolved; 98.0% prophage recall; metabolic-gene annotation	Primary-assembly precision 0.975 with recall 0.218; targets prokaryotic viruses; zero eukaryote-infecting virus recall at 1,500 bp
Complementary	PPR-Meta	Phage detection on long contigs	0.148	0.384	95% / 1% / 100%	None	No	56 s	10 min	Ranked 4th on Track C; three-class phage/chromosome/plasmid model	1% herpesvirus recall; Track C performance reflects phage-dominated TP set
Complementary	DeepVirFinder	Broad phage screening	0.152	0.135	55% / 8% / 100%	None	No	1.4 h	2.6 h	58% dark-matter detection rate; high recall on Lactobacillus phages	High runtime (1.4 h at 1,500 bp); elevated FPR
Not recommended	TransGINmer	-	0.280	0.191	100% / 81% / 100%	~100 bp	Yes (0.6 GB VRAM)	28 s	8 min	Second-best herpesvirus recall (81%); outperforms feature-based ML on short contigs (Q1)	Negative MCC on both real-assembly benchmarks (−0.062 multi-evidence, −0.147 MiTCH); called 95.5% of Kraken2 human-assigned contigs viral (Table S38)
Not recommended	HVSeeker	-	0.013	0.101	90% / 25% / 100%	None	Yes (1.5 GB VRAM)	42 s	6 min	High HPV recall (90%)	Near-zero MCC on Track A; negative MCC in both original 10× Track B coverage-sweep backgrounds
Not recommended	VirFinder	-	0.091	0.129	30% / 0.5% / 50%	None	No	98 s	3 min	Computationally lightweight	Low MCC across all tracks; superseded by DeepVirFinder
Not recommended	VirSorter	-	0.217	-0.011	0% / 0% / 0%	None	No	3 min	2.3 h	Legacy tool with established user base	Superseded by VirSorter2; 43x scaling from L1500 to Track C; negative Track C MCC (anti-correlated classification)
Not recommended	MetaPhinder	-	0.049	-0.049	10% / 25% / 0%	None	No	47 s	10 min	Reference-based precision on known phages	Near-random performance on vaginal fragments
Not recommended	Seeker	-	-0.023	0.020	100% / 26% / 100%	200 bp	No	216 s	8 min	High HPV and anellovirus recall	Negative MCC (anti-correlated classification); crashes on assemblies with short contigs
Not recommended	Sourmash	-	0.000	0.000	0% / 0% / 0%	None	No	1.6 h	3.1 h	Reference-based MinHash approach	Zero detections on vaginal fragments under the implemented operating rule
