tool	method_approach	homology_dependence	stratum	stratum_label	fragment_length_bp	n_genomes	n_fragments	TP	FN	recall	recall_delta_vs_homology_detectable	evaluable
VIBRANT	Feature-based machine learning	marker/reference-dependent	dark	homology-free	1500	2	65	2	63	0.0308	-0.0816	yes
VIBRANT	Feature-based machine learning	marker/reference-dependent	has_relatives	homology-detectable	1500	13	427	48	379	0.1124	0.0816	yes
VIBRANT	Feature-based machine learning	marker/reference-dependent	dark	homology-free	3000	2	32	8	24	0.25	-0.2357	yes
VIBRANT	Feature-based machine learning	marker/reference-dependent	has_relatives	homology-detectable	3000	13	210	102	108	0.4857	0.2357	yes
VirSorter	Feature-based machine learning	marker/reference-dependent	dark	homology-free	1500	2	65	0	65	0.0	-0.0281	yes
VirSorter	Feature-based machine learning	marker/reference-dependent	has_relatives	homology-detectable	1500	13	427	12	415	0.0281	0.0281	yes
VirSorter	Feature-based machine learning	marker/reference-dependent	dark	homology-free	3000	2	32	1	31	0.0312	-0.1735	yes
VirSorter	Feature-based machine learning	marker/reference-dependent	has_relatives	homology-detectable	3000	13	210	43	167	0.2048	0.1735	yes
VirSorter2	Feature-based machine learning	marker/reference-dependent	dark	homology-free	1500	2	65	20	45	0.3077	-0.1396	yes
VirSorter2	Feature-based machine learning	marker/reference-dependent	has_relatives	homology-detectable	1500	13	427	191	236	0.4473	0.1396	yes
VirSorter2	Feature-based machine learning	marker/reference-dependent	dark	homology-free	3000	2	32	16	16	0.5	-0.2857	yes
VirSorter2	Feature-based machine learning	marker/reference-dependent	has_relatives	homology-detectable	3000	13	210	165	45	0.7857	0.2857	yes
geNomad	Hybrid deep-learning-plus-marker approaches	marker/reference-dependent	dark	homology-free	1500	2	65	4	61	0.0615	-0.2523	yes
geNomad	Hybrid deep-learning-plus-marker approaches	marker/reference-dependent	has_relatives	homology-detectable	1500	13	427	134	293	0.3138	0.2523	yes
geNomad	Hybrid deep-learning-plus-marker approaches	marker/reference-dependent	dark	homology-free	3000	2	32	25	7	0.7812	-0.0997	yes
geNomad	Hybrid deep-learning-plus-marker approaches	marker/reference-dependent	has_relatives	homology-detectable	3000	13	210	185	25	0.881	0.0997	yes
MetaPhinder	Reference-based	marker/reference-dependent	dark	homology-free	1500	2	65	14	51	0.2154	-0.2741	yes
MetaPhinder	Reference-based	marker/reference-dependent	has_relatives	homology-detectable	1500	13	427	209	218	0.4895	0.2741	yes
MetaPhinder	Reference-based	marker/reference-dependent	dark	homology-free	3000	2	32	5	27	0.1562	-0.3676	yes
